Date,TLT
2002-07-30,36.64829635620117
2002-07-31,37.10238265991211
2002-08-01,37.31364059448242
2002-08-02,37.69578170776367
2002-08-05,37.86211013793945
2002-08-06,37.53840637207031
2002-08-07,37.62834548950195
2002-08-08,37.62834548950195
2002-08-09,38.15878677368164
2002-08-12,38.39259338378906
2002-08-13,38.864646911621094
2002-08-14,39.01296615600586
2002-08-15,38.67134094238281
2002-08-16,38.23973846435547
2002-08-19,38.35663986206055
2002-08-20,38.78373336791992
2002-08-21,38.576900482177734
2002-08-22,38.23973846435547
2002-08-23,38.617393493652344
2002-08-26,38.65334701538086
2002-08-27,38.41059494018555
2002-08-28,38.60389709472656
2002-08-29,38.91405487060547
2002-08-30,39.14784240722656
2002-09-03,39.749698638916016
2002-09-04,39.74068069458008
2002-09-05,39.9573860168457
2002-09-06,39.48781204223633
2002-09-09,39.42914581298828
2002-09-10,39.6187744140625
2002-09-11,39.411067962646484
2002-09-12,39.71807861328125
2002-09-13,40.08384323120117
2002-09-16,40.15153884887695
2002-09-17,40.228294372558594
2002-09-18,40.23731994628906
2002-09-19,40.50822448730469
2002-09-20,40.31858825683594
2002-09-23,40.67980194091797
2002-09-24,40.941650390625
2002-09-25,40.44501495361328
2002-09-26,40.350196838378906
2002-09-27,40.652679443359375
2002-09-30,40.81524658203125
2002-10-01,40.309024810791016
2002-10-02,40.540138244628906
2002-10-03,40.44044876098633
2002-10-04,40.567344665527344
2002-10-07,40.63531494140625
2002-10-08,40.648921966552734
2002-10-09,40.857421875
2002-10-10,40.53562927246094
2002-10-11,40.05518341064453
2002-10-14,39.996273040771484
2002-10-15,39.04905319213867
2002-10-16,39.06716537475586
2002-10-17,38.59128952026367
2002-10-18,38.6910285949707
2002-10-21,38.314823150634766
2002-10-22,38.206085205078125
2002-10-23,38.21965789794922
2002-10-24,38.55504608154297
2002-10-25,38.69551086425781
2002-10-28,38.64116668701172
2002-10-29,39.144203186035156
2002-10-30,39.13063049316406
2002-10-31,39.3073844909668
